"","terminal_model","date_sold","date_repaired","part_code","failure_description"
"1","A",2017-01-23,2017-04-29,"K01","Key not responding"
"2","A",2018-11-13,NA,"S01",NA
"3","A",2018-12-31,NA,"S01",NA
"4","A",2019-07-28,NA,"S01",NA
"5","A",2019-08-16,NA,"S01",NA
"6","A",2019-12-20,NA,"S01",NA
"7","A",2018-12-03,NA,"S01",NA
"8","A",2019-03-11,NA,"S01",NA
"9","A",2019-12-25,NA,"K01",NA
"10","A",2018-06-03,2019-12-13,"S01","Screen shutdown"
"11","A",2018-01-26,NA,"S01",NA
"12","A",2019-12-28,NA,"S01",NA
"13","A",2018-12-31,NA,"K01",NA
"14","A",2017-06-13,2019-03-03,"S01","Screen shutdown"
"15","A",2018-09-30,NA,"S01",NA
"16","A",2018-09-24,NA,"K01",NA
"17","A",2017-09-27,NA,"S01",NA
"18","A",2019-08-19,2019-09-22,"K01","Key not responding"
"19","A",2017-12-17,2018-06-05,"S01","Screen shutdown"
"20","A",2018-11-09,NA,"S01",NA
"21","A",2019-12-19,NA,"S01",NA
"22","A",2019-08-22,NA,"S01",NA
"23","A",2018-11-30,2019-09-21,"K01","Key not responding"
"24","A",2019-10-27,NA,"K01",NA
"25","A",2019-11-29,NA,"S01",NA
"26","A",2019-03-16,NA,"K01",NA
"27","A",2019-12-11,NA,"S01",NA
"28","A",2017-11-23,NA,"S01",NA
"29","A",2019-12-05,NA,"S01",NA
"30","A",2018-12-23,2019-06-21,"K01","Key not responding"
"31","A",2019-10-07,NA,"S01",NA
"32","A",2018-02-20,2019-05-28,"K01","Key not responding"
"33","A",2018-12-16,2019-08-20,"K01","Key not responding"
"34","A",2018-11-22,2019-05-13,"S01","Screen shutdown"
"35","A",2017-12-23,NA,"S01",NA
"36","A",2019-05-12,NA,"S01",NA
"37","A",2019-06-28,NA,"S01",NA
"38","A",2018-05-26,2019-04-13,"S01","Screen shutdown"
"39","A",2019-04-15,NA,"S01",NA
"40","A",2019-12-24,NA,"K01",NA
"41","A",2018-03-05,NA,"S01",NA
"42","A",2018-06-16,NA,"S01",NA
"43","A",2019-05-11,NA,"S01",NA
"44","A",2018-05-03,NA,"S01",NA
"45","A",2017-08-19,2018-03-24,"S01","Screen shutdown"
"46","A",2018-02-08,2019-10-13,"S01","Screen shutdown"
"47","A",2019-01-08,NA,"S01",NA
"48","A",2018-02-26,2019-03-28,"S01","Screen shutdown"
"49","A",2018-11-11,2019-08-18,"S01","Screen shutdown"
"50","A",2018-08-15,NA,"S01",NA
"51","A",2019-12-17,NA,"K01",NA
"52","A",2017-01-20,2018-03-26,"K01","Key not responding"
